Id,DisplayName,Value
1,StartGold,100
2,StartLife,10
3,TotalWaves,5
4,SpawnX,10
5,SpawnY,0
6,SpawnZ,12
7,BaseX,18
8,BaseY,0
9,BaseZ,-8
10,TapScale,0.95
11,TapDuration,0.05
12,TowerMaxHp,150
13,SpawnBaseRate,1.0
14,SpawnRateExponent,1.0
15,HpMultiplierGrowth,0.2
16,DamageMultiplierGrowth,0.25
17,XpRequiredBase,3
18,XpRequiredLinear,3
19,XpRequiredQuadratic,0.5
20,DamageTextPoolSize,50
21,DamageTextMaxSpawnPerSecond,10
22,CritExplosionPoolSize,6
23,CritShakeDuration,0.08
24,CritShakeStrength,0.15
25,CritShakeVibrato,30
26,VibratePulseInterval,0.08
27,MaxRecentRunCount,10
28,DraftSize,3
29,PityThreshold,5
64,WeaponPityThreshold,3
31,ShieldBurstRadius,3
32,CritExplosionScalePopDuration,0.15
33,CritExplosionFadeDuration,0.25
34,CritExplosionTargetScale,0.5
35,DamageTextCritScale,1.5
36,DamageTextMoveUpDistance,0.8
37,DamageTextFadeDuration,0.5
38,TowerColorTweenDuration,0.5
39,TowerGlowTweenDuration,0.5
40,TowerLowPulseDuration,0.4
41,TowerMidHpRatio,0.7
42,TowerLowHpRatio,0.3
43,ProjectilePoolSize,20
44,ProjectilePrefabNativeDiameter,2.22
45,OrbitalDamageTickInterval,0.5
46,ProjectileHomingTurnRate,6
47,SplashExplosionPoolSize,6
48,SplashExplosionScalePopDuration,0.12
49,SplashExplosionFadeDuration,0.2
50,SplashExplosionTargetScale,0.6
51,ChainLightningPoolSize,6
52,ChainLightningFadeDuration,0.25
53,ChainLightningWidth,0.08
54,SpawnRampGraceSeconds,60
55,ProjectileHomingMaxLifetime,25
57,ChainCoilInnateChainJumps,3
58,ChainCoilInnateChainRadius,2
59,LaserInnateRotateDuration,3
60,LaserRotationSpeed,60
61,LaserTickInterval,0.12
62,LaserArcHalfWidthDegrees,10
63,LaserRange,100
65,MaxWeaponCount,4
66,OrbitalSlowRotationSpeed,15
67,OrbitalSlowVisualScale,1.8
68,OrbitalSlowGlowMin,1
69,OrbitalSlowGlowMax,4
70,OrbitalSlowGlowPulseDuration,1.2
71,OrbitalSlowColorTweenDuration,2.5
72,CameraBaseOrthoSize,10
73,CameraMaxZoomOutAmount,4
74,CameraZoomFullMonsterCount,20
75,CameraZoomCheckInterval,0.5
76,CameraZoomTweenDuration,1.5
77,OrbitalRingGlowMin,1
78,OrbitalRingGlowMax,2.5
79,OrbitalRingGlowPulseDuration,1
80,OrbitalRingColorTweenDuration,3
